,Submission ID,taste,Gender,most_expensive_purchase_cat,num_cups_daily,coffee_location,fav_drink,age,is_espresso,pref_roast,whole_milk,skim_milk,half_and_half,creamer,flav_creamer,oat_milk,almond_milk,soy_milk,other_dairy,sugar,art_sweet,honey,maple_syrup,stevia,agave_nectar,brown_sugar,raw_sugar,ethnicity,employment_status
0,LbWda2,Light,,,0,At a cafe,Regular drip coffee,25-34 years old,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1,7WWB4A,Full Bodied,,,2,"On the go, At a cafe, At home, At the office",Other,<18 years old,False,Light,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2,Zd694B,Bright,Other,,3,"At home, At the office, At a cafe",Pourover,<18 years old,False,Light,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other (please specify),Employed full-time
3,QAeYZY,Fruity,,,3,"At the office, At a cafe",Cortado,>65 years old,True,Blonde,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
4,QA5JYA,Sweet,Female,,1,"At home, At the office, On the go",Regular drip coffee,25-34 years old,False,Medium,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,White/Caucasian,Employed full-time
5,Rz5BPj,,,,2,At a cafe,,25-34 years old,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
6,1r2YJQ,Bold,,,5,"At the office, At home, At a cafe, On the go",Regular drip coffee,25-34 years old,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
7,J2krYz,Fruity,,,1,"At home, At a cafe",Pourover,35-44 years old,False,Medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
8,aBr18q,,,,3,"At home, On the go",,25-34 years old,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
9,6dQ08e,Chocolatey,,,1,"At a cafe, At home, On the go",Latte,25-34 years old,True,Medium,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
